sp,x,y,CV_TEMP,DRAINAGE_DENS,DS_AVGRIPTRECOV,DS_AVGSLOPE,DS_MINCOLDP_TEMP,MAXWARMP_TEMP,MEAN_MRVBF,NONATVEG,SLOPE_PERCENT,TOTLENGTH_UCA,TRECOV,UC_CV_PPT,UC_RIP_TRECOV,UC_ROAD_DENS,UC_SOLDEPTH,UC_TWI,UCWARMQT_PPT,US_MAXSLOPE,RIV
bg,10112,10112,1.57,1.733,0.713,0.0691,3.0112,27.8,3.862,0.5634,1.3937,3.9915,0.3944,28.6502,0.6021,0.7912,0.9,9.7902,100.5947,12.5148,2
bg,10113,10113,1.56,1.9778,0.3727,0.2113,2.5348,24.0756,0.0039,0,24.9415,0.7674,1,34.9536,1,1.7303,1.2,8.0465,197.0722,29.9312,1
bg,10114,10114,1.6542,1.6889,0.4551,0.053,2.9632,29.0795,4.8296,0.1453,0.3751,15.1282,0.1908,24.038,0.2556,1.2726,0.9,11.2704,94.1882,2.2954,3
bg,10115,10115,1.65,2.6113,0.3587,0.1284,2.5665,28.0896,2.2023,0.8072,0.8832,8.166,0.0233,24.0591,0.0602,1.49,0.9,10.4972,149.0761,15.6099,1
bg,10116,10116,1.6709,2.0635,0.7619,3.1101,1.5511,23.2363,0.015,0,17.0113,5.0002,1,34.3252,1,0,1.2,8.6226,256.8232,41.345,4
bg,10117,10117,1.6308,1.472,0.4218,0.2889,1.0176,24.9739,0.2113,0.8406,12.0371,0.2031,0.0841,19.0377,0.5001,5.7571,1.2,9.4729,179.4928,23.274,4
bg,10118,10118,1.9149,1.7008,0.2739,0.3245,2.1942,30.3715,0.3208,0.8714,6.3019,0.5184,0.1207,23.4685,0.0288,1.1362,0.7429,9.5463,144.126,6.3019,4
bg,10119,10119,1.65,1.2586,0,0.8236,3.1862,30.4004,2.3572,0.8567,0.7785,0.5236,0.1433,24.9712,0,1.6314,1,11.4979,66.0279,0.7785,2
bg,10120,10120,1.6891,2.993,0.357,0.1762,2.5679,26.9833,0.081,0,16.5952,0.5818,1,31.1337,1,0.3164,0.9,8.4536,152.4979,16.5952,1
bg,10121,10121,1.78,1.9972,0.391,0.262,1.7962,28.6556,0.3208,0,1.5493,72.3927,1,34.8458,1,0.4729,1.1124,8.5747,209.1873,37.4791,4
bg,10122,10122,1.525,1.2198,0.6886,0.0941,3.0037,25.8065,0.127,0.0071,5.4398,0.7563,0.9786,28.0832,0.9621,1.9764,0.9,8.7092,122.86,10.2523,2
bg,10123,10123,1.7517,0.5952,0.604,0.85,1.6586,27.981,0.1479,0.0136,12.029,0.07,0.9864,33.4286,1,2.6718,0.9,9.0502,188.8401,12.029,4
bg,10124,10124,1.69,2.7162,0.3506,0.1318,2.5696,28.3097,1.4566,0.4086,2.3837,1.5526,0.018,25.9811,0.1742,1.0512,0.9,9.4308,139.2995,4.3976,1
bg,10125,10125,1.87,1.3767,0.7326,0.0268,2.3635,31,8.9825,0,0.0131,3.222,0.9775,13.4584,0.9783,0.877,1.2,14.9971,96.0438,76.3466,1
bg,10126,10126,0,2.2659,0.4557,0.2713,2.3085,0,0,0,3.6085,1.0532,0,31.6437,1,1.5349,1.2,8.1241,234.7909,33.1439,1
bg,10127,10127,1.6421,2.0823,0.3749,0.488,1.1837,21.7333,0.0423,0,25.831,0.4031,1,24.2004,1,0,1.2,8.6418,230.8698,34.9718,4
bg,10128,10128,1.53,1.5947,0.6825,0.1386,2.8932,26.9748,1.2252,0.7476,0.6032,6.823,0.0963,27.2431,0.5139,1.5118,0.9,9.7582,114.7662,6.3506,2
bg,10129,10129,1.6852,1.6733,0.7035,0.1377,2.9745,29.0174,0.845,0.1606,2.6187,1.3253,0.4136,25.1399,0.0306,0.0322,0.9,10.1074,94.9157,2.7768,2
bg,10130,10130,1.67,2.2658,0.4002,0.1709,2.467,27.7118,2.0241,0,2.1405,1.345,0.9412,26.004,0.7206,0,0.9,9.6718,129.9926,5.173,1
bg,10131,10131,1.8591,2.0745,0.3175,0.6349,2.0334,29.2886,0.2734,0.8864,3.6869,5.572,0.1009,28,0.1714,0.2031,0.9,9.2043,148.0085,9.0824,4
bg,10132,10132,1.8,1.4127,0,0.9248,2.5099,30.1212,1.1334,0.0923,1.6011,0.5142,0.0429,21.1681,0,0,0.8,10.395,111.5495,1.6011,1
bg,10133,10133,1.6494,1.3332,0.8073,1.7569,1.2843,19.4811,0,0,44.1154,0.2197,1,32.983,1,0,1.2,8.2301,270.4126,50.071,4
bg,10134,10134,1.65,1.1484,0.7598,1.1433,1.4351,23.3138,0,0,34.9336,0.3197,1,33.3851,1,0,1.2,8.2208,226.6365,34.9336,4
bg,10135,10135,1.6412,1.4573,0.5665,0.0343,3.099,29.3725,4.9857,0.7872,0.1115,740.8131,0.0936,27.4495,0.3476,1.098,1.0517,11.7478,87.7886,16.022,2
bg,10136,10136,1.58,2.8978,0.4017,0.2457,2.4334,24.4241,0.0208,0,21.2986,1.1788,1,32.9027,1,0,1.2,8.0763,206.179,49.5844,1
bg,10137,10137,1.55,2.6184,0.406,0.2281,2.4577,23.5052,8.00E-04,0,33.797,0.7101,1,33.0251,1,0,1.2,8.0051,206.7655,71.2454,1
bg,10138,10138,1.93,0.5936,0,0,2.4996,31.4,7.9364,0.9427,0,2.2321,0,14,0,0.4222,1.2,17.124,104.9956,0.0614,1
bg,10139,10139,1.81,0.2501,0.4793,0.0185,3.1439,30.9,8.8429,0.9595,0.1441,0.0839,0.031,17,0.6667,1.444,1.3,14.6442,79,82.6981,3
bg,10140,10140,1.82,4.6151,0.6746,0.0276,2.9,31.2,8.9709,0.636,0,0.7477,0.212,16,0.2722,0,1.4,13.935,78.0049,0.0397,3
